model,clip_score,frame_consistency,quality_score,compute_cost_usd,inference_time_s,peak_memory_gb,cost_efficiency,time_efficiency,memory_efficiency,cost_efficiency_rank,time_efficiency_rank
CogVideoX-2b,30.903954823811848,0.5423172354698181,16.759747345133793,0.08453479743074484,257.9027718226115,12.242177486419678,198.2585616161702,0.06498475075196687,1.3690168569868786,1,2
CogVideoX-5b,32.19982312520345,0.5626523057619731,18.117304726523425,0.2003097929245454,611.114622481664,11.99625825881958,90.44642531954503,0.0296463282991842,1.5102463064434017,2,3
CogVideoX1.5-5B,32.398400751749676,0.42371397415796913,13.72765513888639,0.5776603635028555,1762.3536513646443,12.48981475830078,23.764232421355203,0.007789387293666426,1.0991079855498207,3,5
Google Veo 3.1,28.344398233625625,0.26240377293692696,7.437677038130132,0.75,61.734193828370834,0.0,9.916902717506842,0.1204790502133688,N/A (API),4,1
HunyuanVideo-1.5,28.978377448187935,0.2616346271501647,7.581746979073392,1.4543537571388998,696.2331816090477,39.08249521255493,5.213138097837147,0.010889666248815374,0.19399342180787418,5,4
