[06:52:46] [71.1%] Model: THUDM/CogVideoX1.5-5B | Run: 2/5 | Prompt: 1/3 | Time: 1761.70s | Memory: 12.49GB | CLIP: 31.2 | Consist: 0.301 | ETA: 2.0h
[07:23:00] [73.3%] Model: THUDM/CogVideoX1.5-5B | Run: 3/5 | Prompt: 1/3 | Time: 1760.76s | Memory: 12.49GB | CLIP: 30.9 | Consist: 0.381 | ETA: 1.9h
[07:53:14] [75.6%] Model: THUDM/CogVideoX1.5-5B | Run: 4/5 | Prompt: 1/3 | Time: 1760.94s | Memory: 12.49GB | CLIP: 30.2 | Consist: 0.250 | ETA: 1.9h
[08:23:29] [77.8%] Model: THUDM/CogVideoX1.5-5B | Run: 5/5 | Prompt: 1/3 | Time: 1762.07s | Memory: 12.49GB | CLIP: 35.3 | Consist: 0.203 | ETA: 1.8h
[08:53:43] [80.0%] Model: THUDM/CogVideoX1.5-5B | Run: 1/5 | Prompt: 2/3 | Time: 1761.32s | Memory: 12.49GB | CLIP: 34.3 | Consist: 0.515 | ETA: 1.7h
[09:23:56] [82.2%] Model: THUDM/CogVideoX1.5-5B | Run: 2/5 | Prompt: 2/3 | Time: 1760.87s | Memory: 12.49GB | CLIP: 32.4 | Consist: 0.428 | ETA: 1.6h
[09:54:09] [84.4%] Model: THUDM/CogVideoX1.5-5B | Run: 3/5 | Prompt: 2/3 | Time: 1760.53s | Memory: 12.49GB | CLIP: 31.5 | Consist: 0.441 | ETA: 1.4h
[10:24:22] [86.7%] Model: THUDM/CogVideoX1.5-5B | Run: 4/5 | Prompt: 2/3 | Time: 1760.77s | Memory: 12.49GB | CLIP: 32.4 | Consist: 0.440 | ETA: 1.3h
[10:54:38] [88.9%] Model: THUDM/CogVideoX1.5-5B | Run: 5/5 | Prompt: 2/3 | Time: 1762.34s | Memory: 12.49GB | CLIP: 32.5 | Consist: 0.574 | ETA: 1.1h
[11:24:52] [91.1%] Model: THUDM/CogVideoX1.5-5B | Run: 1/5 | Prompt: 3/3 | Time: 1761.81s | Memory: 12.49GB | CLIP: 35.1 | Consist: 0.431 | ETA: 0.9h
[11:55:07] [93.3%] Model: THUDM/CogVideoX1.5-5B | Run: 2/5 | Prompt: 3/3 | Time: 1762.98s | Memory: 12.49GB | CLIP: 33.4 | Consist: 0.422 | ETA: 0.7h
[12:25:24] [95.6%] Model: THUDM/CogVideoX1.5-5B | Run: 3/5 | Prompt: 3/3 | Time: 1764.61s | Memory: 12.49GB | CLIP: 25.8 | Consist: 0.652 | ETA: 0.5h
[12:55:41] [97.8%] Model: THUDM/CogVideoX1.5-5B | Run: 4/5 | Prompt: 3/3 | Time: 1764.85s | Memory: 12.49GB | CLIP: 38.5 | Consist: 0.649 | ETA: 0.2h
[13:25:59] [100.0%] Model: THUDM/CogVideoX1.5-5B | Run: 5/5 | Prompt: 3/3 | Time: 1764.88s | Memory: 12.49GB | CLIP: 30.4 | Consist: 0.399 | ETA: 0.0h
