model_name,run_number,prompt_index,prompt_text,inference_time_seconds,peak_memory_gb,compute_cost_usd,clip_score,frame_consistency,status
THUDM/CogVideoX-5b,1,1,A person walking in a park on a sunny day,617.3225741386414,11.99625825881958,0.20234462152322133,33.425392150878906,0.5674418210983276,SUCCESS
THUDM/CogVideoX-5b,2,1,A person walking in a park on a sunny day,611.3370907306671,11.99625825881958,0.20038271307282976,31.95827865600586,0.5272501111030579,SUCCESS
THUDM/CogVideoX-5b,3,1,A person walking in a park on a sunny day,610.5660014152527,11.99625825881958,0.20012996713055503,33.1258430480957,0.6221470832824707,SUCCESS
THUDM/CogVideoX-5b,4,1,A person walking in a park on a sunny day,610.3116755485535,11.99625825881958,0.20004660476313696,30.543041229248047,0.5473953485488892,SUCCESS
THUDM/CogVideoX-5b,5,1,A person walking in a park on a sunny day,610.5836546421051,11.99625825881958,0.20013575346602333,30.62390899658203,0.32569846510887146,SUCCESS
THUDM/CogVideoX-5b,1,2,A car driving on a highway with trees in background,610.1192922592163,11.99625825881958,0.19998354579607647,28.741037368774414,0.9041118025779724,SUCCESS
THUDM/CogVideoX-5b,2,2,A car driving on a highway with trees in background,610.4401304721832,11.99625825881958,0.20008870943254894,31.3015079498291,0.9173799753189087,SUCCESS
THUDM/CogVideoX-5b,3,2,A car driving on a highway with trees in background,610.3559432029724,11.99625825881958,0.20006111471652982,33.36951446533203,0.5896624326705933,SUCCESS
THUDM/CogVideoX-5b,4,2,A car driving on a highway with trees in background,610.4886085987091,11.99625825881958,0.2001045994851324,31.691213607788086,0.7754993438720703,SUCCESS
THUDM/CogVideoX-5b,5,2,A car driving on a highway with trees in background,610.8644797801971,11.99625825881958,0.2002278017057313,32.38658142089844,0.8712679743766785,SUCCESS
THUDM/CogVideoX-5b,1,3,A cat playing with a ball in a living room,611.2949798107147,11.99625825881958,0.20036891004906757,30.97245979309082,0.36220017075538635,SUCCESS
THUDM/CogVideoX-5b,2,3,A cat playing with a ball in a living room,610.3294587135315,11.99625825881958,0.2000524336894353,36.226829528808594,0.4305858314037323,SUCCESS
THUDM/CogVideoX-5b,3,3,A cat playing with a ball in a living room,611.238817691803,11.99625825881958,0.20035050135453542,34.96181106567383,0.38060706853866577,SUCCESS
THUDM/CogVideoX-5b,4,3,A cat playing with a ball in a living room,610.7914934158325,11.99625825881958,0.20020387839741174,35.98127746582031,0.30230513215065,SUCCESS
THUDM/CogVideoX-5b,5,3,A cat playing with a ball in a living room,610.6751368045807,11.99625825881958,0.2001657392859459,27.688650131225586,0.31623202562332153,SUCCESS
THUDM/CogVideoX-2b,1,1,A person walking in a park on a sunny day,257.214812040329,12.242177486419678,0.08430929950210783,30.936695098876953,0.3615763783454895,SUCCESS
THUDM/CogVideoX-2b,2,1,A person walking in a park on a sunny day,258.1454350948334,12.242177486419678,0.08461433705886205,33.28084182739258,0.4306371808052063,SUCCESS
THUDM/CogVideoX-2b,3,1,A person walking in a park on a sunny day,258.03020548820496,12.242177486419678,0.08457656735446718,34.2110710144043,0.5721518397331238,SUCCESS
THUDM/CogVideoX-2b,4,1,A person walking in a park on a sunny day,258.39743971824646,12.242177486419678,0.08469693857431412,31.528362274169922,0.30280837416648865,SUCCESS
THUDM/CogVideoX-2b,5,1,A person walking in a park on a sunny day,258.08455061912537,12.242177486419678,0.08459438048071331,28.56998062133789,0.3874056041240692,SUCCESS
THUDM/CogVideoX-2b,1,2,A car driving on a highway with trees in background,257.7006514072418,12.242177486419678,0.08446854685015148,30.866544723510742,0.9275436401367188,SUCCESS
THUDM/CogVideoX-2b,2,2,A car driving on a highway with trees in background,258.1629002094269,12.242177486419678,0.08462006173531214,31.729352951049805,0.6549727320671082,SUCCESS
THUDM/CogVideoX-2b,3,2,A car driving on a highway with trees in background,257.7467770576477,12.242177486419678,0.08448366581334009,32.178611755371094,0.5168420076370239,SUCCESS
THUDM/CogVideoX-2b,4,2,A car driving on a highway with trees in background,258.2365255355835,12.242177486419678,0.08464419448110792,33.356361389160156,0.8583530783653259,SUCCESS
THUDM/CogVideoX-2b,5,2,A car driving on a highway with trees in background,258.34447264671326,12.242177486419678,0.08467957714531156,30.032894134521484,0.8301770687103271,SUCCESS
THUDM/CogVideoX-2b,1,3,A cat playing with a ball in a living room,258.36764645576477,12.242177486419678,0.08468717300494512,29.70046615600586,0.5437449812889099,SUCCESS
THUDM/CogVideoX-2b,2,3,A cat playing with a ball in a living room,258.01944231987,12.242177486419678,0.08457303942706851,27.728595733642578,0.4528539180755615,SUCCESS
THUDM/CogVideoX-2b,3,3,A cat playing with a ball in a living room,257.1018662452698,12.242177486419678,0.08427227838039399,31.085660934448242,0.3939119875431061,SUCCESS
THUDM/CogVideoX-2b,4,3,A cat playing with a ball in a living room,257.2458350658417,12.242177486419678,0.08431946816047033,30.128816604614258,0.42402908205986023,SUCCESS
THUDM/CogVideoX-2b,5,3,A cat playing with a ball in a living room,257.74301743507385,12.242177486419678,0.08448243349260753,28.225067138671875,0.47775065898895264,SUCCESS
THUDM/CogVideoX1.5-5B,1,1,A person walking in a park on a sunny day,1764.8781425952911,12.489814758300781,0.5784878356284565,32.208709716796875,0.2684006989002228,SUCCESS
THUDM/CogVideoX1.5-5B,2,1,A person walking in a park on a sunny day,1761.7011282444,12.489814758300781,0.5774464809245533,31.15146255493164,0.3011540174484253,SUCCESS
THUDM/CogVideoX1.5-5B,3,1,A person walking in a park on a sunny day,1760.7565214633942,12.489814758300781,0.5771368598130013,30.916622161865234,0.38118496537208557,SUCCESS
THUDM/CogVideoX1.5-5B,4,1,A person walking in a park on a sunny day,1760.944754600525,12.489814758300781,0.5771985584523943,30.185171127319336,0.24981941282749176,SUCCESS
THUDM/CogVideoX1.5-5B,5,1,A person walking in a park on a sunny day,1762.0719394683838,12.489814758300781,0.5775680246035257,35.272621154785156,0.20273517072200775,SUCCESS
THUDM/CogVideoX1.5-5B,1,2,A car driving on a highway with trees in background,1761.3150005340576,12.489814758300781,0.5773199168417188,34.265995025634766,0.5148060321807861,SUCCESS
THUDM/CogVideoX1.5-5B,2,2,A car driving on a highway with trees in background,1760.8718271255493,12.489814758300781,0.5771746544467078,32.37000274658203,0.42834556102752686,SUCCESS
THUDM/CogVideoX1.5-5B,3,2,A car driving on a highway with trees in background,1760.5289843082428,12.489814758300781,0.577062278189924,31.47519874572754,0.4414682686328888,SUCCESS
THUDM/CogVideoX1.5-5B,4,2,A car driving on a highway with trees in background,1760.7653002738953,12.489814758300781,0.577139737311999,32.449302673339844,0.44032663106918335,SUCCESS
THUDM/CogVideoX1.5-5B,5,2,A car driving on a highway with trees in background,1762.3413169384003,12.489814758300781,0.5776563205520312,32.490966796875,0.5738407373428345,SUCCESS
THUDM/CogVideoX1.5-5B,1,3,A cat playing with a ball in a living room,1761.8114144802094,12.489814758300781,0.5774826303018463,35.12027359008789,0.43092063069343567,SUCCESS
THUDM/CogVideoX1.5-5B,2,3,A cat playing with a ball in a living room,1762.9826400279999,12.489814758300781,0.5778665320091777,33.40541458129883,0.42236751317977905,SUCCESS
THUDM/CogVideoX1.5-5B,3,3,A cat playing with a ball in a living room,1764.6095564365387,12.489814758300781,0.5783997990541987,25.829633712768555,0.6522315144538879,SUCCESS
THUDM/CogVideoX1.5-5B,4,3,A cat playing with a ball in a living room,1764.8491051197052,12.489814758300781,0.5784783177892368,38.47696304321289,0.6488184928894043,SUCCESS
THUDM/CogVideoX1.5-5B,5,3,A cat playing with a ball in a living room,1764.8771388530731,12.489814758300781,0.5784875066240628,30.35767364501953,0.39928996562957764,SUCCESS
